TCGA-2A-A8VL-01	TCGA-2A-A8VL-10
TCGA-YL-A8HJ-01	TCGA-YL-A8HJ-10
TCGA-YL-A8HK-01	TCGA-YL-A8HK-10
TCGA-YL-A8HL-01	TCGA-YL-A8HL-10
TCGA-YL-A8HM-01	TCGA-YL-A8HM-10
TCGA-YL-A8HO-01	TCGA-YL-A8HO-10
TCGA-YL-A8S8-01	TCGA-YL-A8S8-10
TCGA-YL-A8S9-01	TCGA-YL-A8S9-10
TCGA-YL-A8SA-01	TCGA-YL-A8SA-10
TCGA-YL-A8SB-01	TCGA-YL-A8SB-10
TCGA-YL-A8SC-01	TCGA-YL-A8SC-10
TCGA-YL-A8SF-01	TCGA-YL-A8SF-10
TCGA-YL-A8SH-01	TCGA-YL-A8SH-10
TCGA-YL-A8SI-01	TCGA-YL-A8SI-10
TCGA-YL-A8SJ-01	TCGA-YL-A8SJ-10
TCGA-YL-A8SK-01	TCGA-YL-A8SK-10
TCGA-YL-A8SL-01	TCGA-YL-A8SL-10
TCGA-YL-A8SO-01	TCGA-YL-A8SO-10
TCGA-YL-A8SP-01	TCGA-YL-A8SP-10
TCGA-YL-A8SQ-01	TCGA-YL-A8SQ-10
TCGA-YL-A8SR-01	TCGA-YL-A8SR-10
TCGA-YL-A9WH-01	TCGA-YL-A9WH-10
TCGA-YL-A9WI-01	TCGA-YL-A9WI-10
TCGA-YL-A9WJ-01	TCGA-YL-A9WJ-10
TCGA-YL-A9WK-01	TCGA-YL-A9WK-10
TCGA-YL-A9WL-01	TCGA-YL-A9WL-10
TCGA-YL-A9WX-01	TCGA-YL-A9WX-10
TCGA-YL-A9WY-01	TCGA-YL-A9WY-10
TCGA-ZG-A8QW-01	TCGA-ZG-A8QW-10
TCGA-ZG-A8QX-01	TCGA-ZG-A8QX-10
TCGA-ZG-A8QY-01	TCGA-ZG-A8QY-10
TCGA-ZG-A8QZ-01	TCGA-ZG-A8QZ-10
TCGA-ZG-A9KY-01	TCGA-ZG-A9KY-10
TCGA-ZG-A9L0-01	TCGA-ZG-A9L0-10
TCGA-ZG-A9L1-01	TCGA-ZG-A9L1-10
TCGA-ZG-A9L2-01	TCGA-ZG-A9L2-10
TCGA-ZG-A9L4-01	TCGA-ZG-A9L4-10
