purity	ploidy	sample
0.44	1.9	TCGA-HC-8262-01
0.68	2	TCGA-HC-8264-01
0.11	2.9	TCGA-HC-8265-01
0.21	2.2	TCGA-HC-8266-01
0.89	1.8	TCGA-HC-A48F-01
0.68	2.1	TCGA-HC-A4ZV-01
0.78	4	TCGA-HC-A631-01
0.53	3.7	TCGA-HC-A632-01
0.36	2	TCGA-HC-A6AL-01
0.66	1.9	TCGA-HC-A6AN-01
0.77	2	TCGA-HC-A6AO-01
0.38	1.9	TCGA-HC-A6AP-01
0.72	2	TCGA-HC-A6AQ-01
0.24	1.9	TCGA-HC-A6AS-01
0.1	1.8	TCGA-HC-A6HX-01
0.68	2	TCGA-HC-A6HY-01
0.51	1.9	TCGA-HC-A76W-01
0.38	1.9	TCGA-HC-A76X-01
0.8	2.1	TCGA-HC-A8CY-01
0.17	1.8	TCGA-HC-A8D0-01
0.37	1.9	TCGA-HC-A8D1-01
0.48	3.2	TCGA-HC-A9TE-01
0.44	5.8	TCGA-HC-A9TH-01
0.42	5	TCGA-HI-7168-01
0.33	2	TCGA-HI-7169-01
0.55	5.8	TCGA-HI-7170-01
0.67	5.8	TCGA-HI-7171-01
0.63	2.1	TCGA-J4-8198-01
0.38	1.9	TCGA-J4-8200-01
0.36	1.9	TCGA-J4-A67K-01
0.37	1.9	TCGA-J4-A67L-01
0.21	1.9	TCGA-J4-A67M-01
0.71	1.9	TCGA-J4-A67N-01
0.15	1.9	TCGA-J4-A67O-01
0.13	1.8	TCGA-J4-A67Q-01
0.25	2	TCGA-J4-A67R-01
0.41	2	TCGA-J4-A67S-01
0.35	2	TCGA-J4-A67T-01
0.1	1.6	TCGA-J4-A6G1-01
0.33	1.9	TCGA-J4-A6G3-01
0.1	1.9	TCGA-J4-A6M7-01
0.78	1.9	TCGA-J4-A83I-01
0.57	1.9	TCGA-J4-A83J-01
0.1	1.8	TCGA-J4-A83K-01
0.32	2	TCGA-J4-A83L-01
0.36	1.9	TCGA-J4-A83M-01
0.51	1.9	TCGA-J4-A83N-01
0.34	1.9	TCGA-J4-AATV-01
0.58	4	TCGA-J4-AATZ-01
0.37	1.9	TCGA-J4-AAU2-01
0.41	5.3	TCGA-J9-A52B-01
0.35	1.9	TCGA-J9-A52C-01
0.93	1.9	TCGA-J9-A52D-01
0.33	5.9	TCGA-J9-A52E-01
0.53	1.9	TCGA-J9-A8CK-01
0.18	4.8	TCGA-J9-A8CL-01
0.59	2.1	TCGA-J9-A8CM-01
0.88	2	TCGA-J9-A8CN-01
0.6	1.9	TCGA-J9-A8CP-01
0.1	1.7	TCGA-KC-A4BL-01
0.1	2.1	TCGA-KC-A4BN-01
0.23	2	TCGA-KC-A4BO-01
0.71	1.8	TCGA-KC-A4BR-01
0.65	1.9	TCGA-KC-A4BV-01
0.47	1.9	TCGA-KC-A7F3-01
0.93	1.9	TCGA-KC-A7F5-01
0.65	1.9	TCGA-KC-A7F6-01
0.47	5.7	TCGA-KC-A7FA-01
0.37	1.9	TCGA-KC-A7FD-01
0.42	1.9	TCGA-KC-A7FE-01
0.55	2	TCGA-KK-A59V-01
0.86	1.9	TCGA-KK-A59X-01
0.75	2	TCGA-KK-A59Y-01
0.76	4.3	TCGA-KK-A59Z-01
0.26	4.3	TCGA-KK-A5A1-01
0.2	5.7	TCGA-KK-A6DY-01
0.58	1.9	TCGA-KK-A6E0-01
0.66	3.8	TCGA-KK-A6E1-01
