C529.TCGA-2A-A8VL-01A-21D-A377-08.1 C529.TCGA-2A-A8VL-10A-01D-A37A-08.1
C529.TCGA-EJ-A65G-01A-21D-A29Q-08.2 C529.TCGA-EJ-A65G-10A-01D-A29Q-08.2
C529.TCGA-EJ-A65J-01A-11D-A30X-08.1 C529.TCGA-EJ-A65J-10A-01D-A30X-08.1
C529.TCGA-EJ-A65M-01A-11D-A29Q-08.2 C529.TCGA-EJ-A65M-10A-01D-A29Q-08.2
C529.TCGA-EJ-A6RA-01A-11D-A33T-08.1 C529.TCGA-EJ-A6RA-10A-01D-A33W-08.1
C529.TCGA-EJ-A6RC-01A-11D-A32B-08.2 C529.TCGA-EJ-A6RC-10A-01D-A329-08.2
C529.TCGA-EJ-A7NF-01A-11D-A33T-08.1 C529.TCGA-EJ-A7NF-10A-01D-A33W-08.1
C529.TCGA-EJ-A7NG-01A-31D-A33T-08.1 C529.TCGA-EJ-A7NG-10A-01D-A33W-08.1
C529.TCGA-EJ-A7NH-01A-12D-A33T-08.1 C529.TCGA-EJ-A7NH-10A-01D-A33W-08.1
C529.TCGA-EJ-A7NJ-01A-22D-A34U-08.1 C529.TCGA-EJ-A7NJ-10A-01D-A34X-08.1
C529.TCGA-EJ-A7NK-01A-12D-A34U-08.1 C529.TCGA-EJ-A7NK-10A-01D-A34X-08.1
C529.TCGA-EJ-A7NM-01A-21D-A33T-08.1 C529.TCGA-EJ-A7NM-10A-01D-A33W-08.1
C529.TCGA-EJ-A7NN-01A-11D-A33T-08.1 C529.TCGA-EJ-A7NN-10A-01D-A33W-08.1
C529.TCGA-EJ-A8FN-01A-11D-A34U-08.1 C529.TCGA-EJ-A8FN-10A-01D-A34X-08.1
C529.TCGA-EJ-A8FO-01A-21D-A364-08.1 C529.TCGA-EJ-A8FO-10A-01D-A362-08.1
C529.TCGA-EJ-A8FP-01A-21D-A364-08.1 C529.TCGA-EJ-A8FP-10A-01D-A362-08.1
C529.TCGA-EJ-A8FS-01A-11D-A34U-08.1 C529.TCGA-EJ-A8FS-10A-01D-A34X-08.1
