TCGA-VP-A87J-01	TCGA-VP-A87J-10
TCGA-EJ-8474-01	TCGA-EJ-8474-10
TCGA-YJ-A8SW-01	TCGA-YJ-A8SW-10
TCGA-VP-A876-01	TCGA-VP-A876-10
TCGA-EJ-8468-01	TCGA-EJ-8468-10
TCGA-HC-7230-01	TCGA-HC-7230-10
TCGA-EJ-5498-01	TCGA-EJ-5498-10
TCGA-2A-A8W1-01	TCGA-2A-A8W1-10
TCGA-J4-A83M-01	TCGA-J4-A83M-10
TCGA-HC-A6AL-01	TCGA-HC-A6AL-10
TCGA-EJ-5499-01	TCGA-EJ-5499-10
TCGA-XK-AAJ3-01	TCGA-XK-AAJ3-10
TCGA-G9-6332-01	TCGA-G9-6332-10
TCGA-TK-A8OK-01	TCGA-TK-A8OK-10
TCGA-HC-8216-01	TCGA-HC-8216-10
TCGA-VN-A88L-01	TCGA-VN-A88L-10
TCGA-HC-A9TE-01	TCGA-HC-A9TE-10
TCGA-EJ-A7NK-01	TCGA-EJ-A7NK-10
TCGA-EJ-5494-01	TCGA-EJ-5494-10
TCGA-KK-A8IF-01	TCGA-KK-A8IF-11
TCGA-XJ-A9DX-01	TCGA-XJ-A9DX-10
TCGA-J4-A67M-01	TCGA-J4-A67M-10
TCGA-V1-A9ZG-01	TCGA-V1-A9ZG-10
TCGA-EJ-A65M-01	TCGA-EJ-A65M-10
TCGA-HC-7745-01	TCGA-HC-7745-10
TCGA-KK-A6DY-01	TCGA-KK-A6DY-11
TCGA-EJ-7791-01	TCGA-EJ-7791-10
TCGA-V1-A9O9-01	TCGA-V1-A9O9-10
TCGA-X4-A8KQ-01	TCGA-X4-A8KQ-10
TCGA-HC-7750-01	TCGA-HC-7750-10
TCGA-XK-AAJT-01	TCGA-XK-AAJT-10
TCGA-CH-5740-01	TCGA-CH-5740-10
TCGA-H9-A6BY-01	TCGA-H9-A6BY-10
TCGA-XK-AAIW-01	TCGA-XK-AAIW-10
TCGA-J4-AAU2-01	TCGA-J4-AAU2-10
TCGA-YL-A8SH-01	TCGA-YL-A8SH-10
TCGA-YL-A8SQ-01	TCGA-YL-A8SQ-10
TCGA-KK-A8IA-01	TCGA-KK-A8IA-11
TCGA-EJ-A7NJ-01	TCGA-EJ-A7NJ-10
TCGA-XJ-A83F-01	TCGA-XJ-A83F-10
TCGA-M7-A720-01	TCGA-M7-A720-10
TCGA-VP-A875-01	TCGA-VP-A875-10
TCGA-EJ-A46D-01	TCGA-EJ-A46D-10
TCGA-EJ-A65B-01	TCGA-EJ-A65B-10
TCGA-V1-A9O5-01	TCGA-V1-A9O5-10
TCGA-KC-A4BL-01	TCGA-KC-A4BL-10
TCGA-KK-A6E5-01	TCGA-KK-A6E5-11
TCGA-HC-8264-01	TCGA-HC-8264-10
TCGA-YL-A8HJ-01	TCGA-YL-A8HJ-10
TCGA-CH-5763-01	TCGA-CH-5763-11
TCGA-G9-6496-01	TCGA-G9-6496-10
TCGA-KK-A6E6-01	TCGA-KK-A6E6-11
TCGA-CH-5741-01	TCGA-CH-5741-10
TCGA-G9-6363-01	TCGA-G9-6363-10
TCGA-KK-A7AQ-01	TCGA-KK-A7AQ-11
TCGA-EJ-7115-01	TCGA-EJ-7115-10
TCGA-HC-A6HY-01	TCGA-HC-A6HY-10
TCGA-G9-6494-01	TCGA-G9-6494-10
TCGA-G9-6343-01	TCGA-G9-6343-10
TCGA-EJ-5512-01	TCGA-EJ-5512-10
TCGA-QU-A6IL-01	TCGA-QU-A6IL-10
TCGA-XK-AAIV-01	TCGA-XK-AAIV-10
TCGA-YL-A8S9-01	TCGA-YL-A8S9-10
TCGA-FC-7961-01	TCGA-FC-7961-10
TCGA-EJ-A65J-01	TCGA-EJ-A65J-10
TCGA-EJ-5504-01	TCGA-EJ-5504-10
TCGA-G9-6369-01	TCGA-G9-6369-10
TCGA-QU-A6IN-01	TCGA-QU-A6IN-10
TCGA-KK-A7B3-01	TCGA-KK-A7B3-11
TCGA-CH-5753-01	TCGA-CH-5753-10
TCGA-G9-7519-01	TCGA-G9-7519-10
TCGA-V1-A9Z8-01	TCGA-V1-A9Z8-10
TCGA-HC-7818-01	TCGA-HC-7818-10
TCGA-G9-6338-01	TCGA-G9-6338-10
TCGA-CH-5765-01	TCGA-CH-5765-11
TCGA-G9-6361-01	TCGA-G9-6361-10
TCGA-EJ-A7NG-01	TCGA-EJ-A7NG-10
TCGA-CH-5744-01	TCGA-CH-5744-10
TCGA-VN-A943-01	TCGA-VN-A943-10
TCGA-G9-6365-01	TCGA-G9-6365-10
TCGA-EJ-7317-01	TCGA-EJ-7317-10
TCGA-EJ-7218-01	TCGA-EJ-7218-10
TCGA-CH-5750-01	TCGA-CH-5750-10
TCGA-2A-AAYF-01	TCGA-2A-AAYF-10
TCGA-KK-A8I6-01	TCGA-KK-A8I6-11
TCGA-J9-A52C-01	TCGA-J9-A52C-10
TCGA-YL-A8HM-01	TCGA-YL-A8HM-10
TCGA-MG-AAMC-01	TCGA-MG-AAMC-10
TCGA-M7-A724-01	TCGA-M7-A724-10
TCGA-KK-A8IM-01	TCGA-KK-A8IM-11
TCGA-G9-7509-01	TCGA-G9-7509-10
TCGA-VP-A87B-01	TCGA-VP-A87B-10
TCGA-KK-A7B2-01	TCGA-KK-A7B2-11
